project_number|year|constituency|project_name|project_description|project_type|ward|project_site|application_amount|engineers_estimate|approved_amount|contract_amount|status|source_url|source_document
1|2024|Bwacha|Construction of 1X3 Classroom Block and Teachers Houses in Kangomba ward|Construction of 1X3 Classroom Block and Teachers Houses in Kangomba ward - Kalima zone||Kangomba|Kangomba ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
2|2024|Bwacha|Construction of 1X4 Classroom Block at Kagomba Primary School|Construction of 1X4 Classroom Block at Kagomba Primary School||Kangomba|Kangomba Primary School||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
3|2024|Bwacha|Construction of 1X4 Classroom Block at Kagomba Primary School|Construction of 1X4 Classroom Block at Kagomba Primary School||Kangomba|Kangomba Primary School||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
4|2024|Bwacha|Construction of 1X3 Classroom Block at Mine Primary School|Construction of 1X3 Classroom Block at Mine Primary School - Mutwewansofu zone||Kangomba|Mine Primary School||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
5|2024|Bwacha|Repairing of the Mono-Pump, Construction of Toilets for Pre- School Pupils, Procurement of Desks at Mary Chidgey Community Primary School|Repairing of the Mono-Pump, Construction of Toilets for Pre- School Pupils, Procurement of Desks at Mary Chidgey Community Primary School - Chankalamu zone||Kangomba|Mary Chidgey Community School||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
6|2024|Bwacha|Construction of a Primary School in Kawama ward|Construction of a Primary School in Kawama ward||Kawama|Kawama ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
7|2024|Bwacha|Construction of 10 Teachers Houses at Chitakata Community School|Construction of 10 Teachers Houses at Chitakata Community School||Muwowo East|Chitakata Commnuity School||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
8|2024|Bwacha|Construction of 1x4 Classroom Block at Mukobeko Correctional Day Secondary School|Construction of 1x4 Classroom Block at Mukobeko Correctional Day Secondary School||Muwowo East|Mukobeko Correctional Day Secondary School||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
9|2024|Bwacha|Construction of Youth Resource Centre|Construction of Youth Resource Centre||Bwacha|Bwacha ward||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
10|2024|Bwacha|Construction of a School Hall at Rapheal Kombe Secondary School|Construction of a School Hall at Rapheal Kombe Secondary School||Chimaniman i|Rapheal Kombe Secondary School||||||https://www.kabwecouncil.gov.zm/wp-content/uploads/2024/11/2024-Bwacha-community-projects-Recieved.pdf|2024 Bwacha CDF Community Projects Submission
